_id,Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
680,20220211,54,58.4285714285714,""
681,20220212,47,56.8571428571429,""
682,20220213,56,59.8571428571429,""
683,20220214,78,61.4285714285714,""
684,20220215,71,61,""
685,20220216,83,63.7142857142857,""
686,20220217,68,65.2857142857143,""
687,20220218,73,68,""
688,20220219,62,70.1428571428571,""
689,20220220,49,69.1428571428571,""
690,20220221,75,68.7142857142857,""
691,20220222,79,69.8571428571429,""
692,20220223,92,71.1428571428571,""
693,20220224,93,74.7142857142857,""
694,20220225,95,77.8571428571429,""
695,20220226,83,80.8571428571429,""
696,20220227,72,84.1428571428571,""
697,20220228,100,87.7142857142857,""
698,20220301,88,89,""
699,20220302,88,88.4285714285714,""
700,20220303,83,87,""
701,20220304,102,88,""
702,20220305,68,85.8571428571429,""
703,20220306,80,87,""
704,20220307,92,85.8571428571429,""
705,20220308,114,89.5714285714286,""
706,20220309,119,94,""
707,20220310,111,98,""
708,20220311,138,103.142857142857,""
709,20220312,124,111.142857142857,""
710,20220313,110,115.428571428571,""
711,20220314,142,122.571428571429,""
712,20220315,143,126.714285714286,""
713,20220316,140,129.714285714286,""
714,20220317,140,133.857142857143,""
715,20220318,154,136.142857142857,""
716,20220319,103,133.142857142857,""
717,20220320,109,133,""
718,20220321,133,131.714285714286,""
719,20220322,148,132.428571428571,""
720,20220323,149,133.714285714286,""
721,20220324,140,133.714285714286,""
722,20220325,140,131.714285714286,""
723,20220326,100,131.285714285714,""
724,20220327,94,129.142857142857,""
725,20220328,114,126.428571428571,""
726,20220329,149,126.571428571429,""
727,20220330,149,126.571428571429,""
728,20220331,138,126.285714285714,""
729,20220401,108,121.714285714286,""
730,20220402,109,123,""
731,20220403,92,122.714285714286,""
732,20220404,133,125.428571428571,""
733,20220405,111,120,""
734,20220406,92,111.857142857143,""
735,20220407,105,107.142857142857,""
736,20220408,106,106.857142857143,""
737,20220409,87,103.714285714286,""
738,20220410,90,103.428571428571,""
739,20220411,90,97.2857142857143,""
740,20220412,88,94,""
741,20220413,94,94.2857142857143,""
742,20220414,86,91.5714285714286,""
743,20220415,78,87.5714285714286,""
744,20220416,74,85.7142857142857,""
745,20220417,63,81.8571428571429,""
746,20220418,67,78.5714285714286,""
747,20220419,81,77.5714285714286,""
748,20220420,60,72.7142857142857,""
749,20220421,73,70.8571428571429,""
750,20220422,82,71.4285714285714,""
751,20220423,47,67.5714285714286,""
752,20220424,41,64.4285714285714,""
753,20220425,58,63.1428571428571,""
754,20220426,51,58.8571428571429,""
755,20220427,66,59.7142857142857,""
756,20220428,50,56.4285714285714,""
757,20220429,46,51.2857142857143,""
758,20220430,45,51,""
759,20220501,48,52,""
760,20220502,44,50,""
761,20220503,51,50,""
762,20220504,54,48.2857142857143,""
763,20220505,34,46,""
764,20220506,41,45.2857142857143,""
765,20220507,34,43.7142857142857,""
766,20220508,29,41,""
767,20220509,57,42.8571428571429,""
768,20220510,63,44.5714285714286,""
769,20220511,47,43.5714285714286,""
770,20220512,48,45.5714285714286,""
771,20220513,33,44.4285714285714,""
772,20220514,23,42.8571428571429,""
773,20220515,29,42.8571428571429,""
774,20220516,42,40.7142857142857,""
775,20220517,31,36.1428571428571,""
776,20220518,31,33.8571428571429,""
777,20220519,28,31,""
778,20220520,41,32.1428571428571,""
779,20220521,19,31.5714285714286,""
780,20220522,26,31.1428571428571,""
781,20220523,31,29.5714285714286,""
782,20220524,51,32.4285714285714,""
783,20220525,43,34.1428571428571,""
784,20220526,30,34.4285714285714,""
785,20220527,36,33.7142857142857,""
786,20220528,30,35.2857142857143,""
787,20220529,45,38,""
788,20220530,34,38.4285714285714,""
789,20220531,30,35.4285714285714,""
790,20220601,43,35.4285714285714,""
791,20220602,53,38.7142857142857,""
792,20220603,44,39.8571428571429,""
793,20220604,44,41.8571428571429,""
794,20220605,50,42.5714285714286,""
795,20220606,59,46.1428571428571,""
796,20220607,48,48.7142857142857,""
797,20220608,52,50,""
798,20220609,70,52.4285714285714,""
799,20220610,73,56.5714285714286,""
800,20220611,58,58.5714285714286,""
801,20220612,68,61.1428571428571,""
802,20220613,70,62.7142857142857,""
803,20220614,76,66.7142857142857,""
804,20220615,75,70,""
805,20220616,82,71.7142857142857,""
806,20220617,81,72.8571428571429,""
807,20220618,61,73.2857142857143,""
808,20220619,62,72.4285714285714,""
809,20220620,88,75,""
810,20220621,108,79.5714285714286,""
811,20220622,98,82.8571428571429,""
812,20220623,117,87.8571428571429,""
813,20220624,129,94.7142857142857,""
814,20220625,103,100.714285714286,""
815,20220626,95,105.428571428571,""
816,20220627,106,108,""
817,20220628,142,112.857142857143,""
